"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
3015,"4 (Oct-Dic)",99,31,55,25
268,"2 (Abr-Jun)",110,28,68,31
94,"2 (Abr-Jun)",142,33,58,26
1248,"2 (Abr-Jun)",128,34,58,27
1879,"2 (Abr-Jun)",110,34,75,27
1314,"2 (Abr-Jun)",142,35,69,34
2393,"2 (Abr-Jun)",128,31,70,32
569,"2 (Abr-Jun)",68,22,47,20
3338,"2 (Abr-Jun)",156,36,64,29
3373,"2 (Abr-Jun)",88,29,57,21
3239,"2 (Abr-Jun)",155,36,52,34
2395,"2 (Abr-Jun)",118,35,64,30
503,"2 (Abr-Jun)",96,19,51,24
643,"2 (Abr-Jun)",67,24,58,25
934,"2 (Abr-Jun)",76,23,53,23
2402,"2 (Abr-Jun)",121,33,69,32
1247,"2 (Abr-Jun)",75,22,51,19
273,"2 (Abr-Jun)",111,24,58,24
2600,"2 (Abr-Jun)",72,28,33,13
2403,"2 (Abr-Jun)",125,34,70,33
1851,"2 (Abr-Jun)",139,36,75,31
923,"2 (Abr-Jun)",60,19,37,17
1434,"2 (Abr-Jun)",74,24,44,20
1115,"2 (Abr-Jun)",54,16,54,20
1443,"2 (Abr-Jun)",65,18,54,20
2396,"2 (Abr-Jun)",141,34,73,32
611,"2 (Abr-Jun)",79,28,58,23
1387,"2 (Abr-Jun)",77,20,51,19
84,"2 (Abr-Jun)",118,32,42,24
